# channel 4e        2e2mu    4mu

# observations
N         4         13       8

# ZZ background estimates
b_hat_zz  1.1       3.2      2.5
db_zz     0.1       0.2      0.2

# ZX background estimates
b_hat_zx  0.8       1.3      0.4
db_zx     0.2       0.3      0.2

# 125 GeV signal estimates
s_hat     3.0       7.9      6.4
ds        0.4       1.0      0.7

